Category,Control, priority ,Mod
S3,S3 buckets should have event notifications enabled, p2 ,Compliance
S3,S3 buckets should have lifecycle policies configured, p3 ,Compliance
S3,S3 buckets should prohibit public read access, p3 ,Compliance
S3,S3 buckets should prohibit public write access, p1 ,Compliance
S3,S3 buckets static website hosting should be disabled, p3 ,Compliance
S3,S3 buckets with versioning enabled should have lifecycle policies configured, p2 ,Compliance
S3,S3 bucket versioning should be enabled, p2 ,Compliance
S3,S3 public access should be blocked at account and bucket levels, p1 ,Compliance
S3,S3 public access should be blocked at account level, p3 ,Compliance
S3,S3 public access should be blocked at bucket levels, p3 ,Compliance
SageMaker,SageMaker endpoint configuration encryption should be enabled, p2 ,Compliance
SageMaker,SageMaker models should be in a VPC, p3 ,Compliance
SageMaker,SageMaker models should have network isolation enabled, p2 ,Compliance
SageMaker,SageMaker notebook instance encryption should be enabled, p2 ,Compliance
SageMaker,SageMaker notebook instances root access should be disabled, p3 ,Compliance
SageMaker,SageMaker notebook instances should be encrypted using CMK, p3 ,Compliance
SageMaker,SageMaker notebook instances should be in a VPC, p3 ,Compliance
SageMaker,SageMaker notebook instances should not have direct internet access, p3 ,Compliance
SageMaker,SageMaker training jobs should be enabled with inter-container traffic encryption, p2 ,Compliance
SageMaker,SageMaker training jobs should be in VPC, p3 ,Compliance
SageMaker,SageMaker training jobs should have network isolation enabled, p2 ,Compliance
SageMaker,SageMaker training jobs volumes and outputs should have KMS encryption enabled, p2 ,Compliance
Secrets Manager,Remove unused Secrets Manager secrets, p3 ,Compliance
Secrets Manager,Secrets Manager secrets should be encrypted using CMK, p1 ,Compliance
Secrets Manager,Secrets Manager secrets should be rotated as per the rotation schedule, p3 ,Compliance
Secrets Manager,Secrets Manager secrets should be rotated within a specified number of days, p3 ,Compliance
Secrets Manager,Secrets Manager secrets should be rotated within specific number of days, p3 ,Compliance
Secrets Manager,Secrets Manager secrets should have automatic rotation enabled, p1 ,Compliance
Secrets Manager,Secrets Manager secrets that have not been used in 90 days should be removed, p1 ,Compliance
Security,3.10 Ensure that Object-level logging for write events is enabled for S3 bucket, p1 ,AWS Well-Architected Framework
Security,3.11 Ensure that Object-level logging for read events is enabled for S3 bucket, p1 ,AWS Well-Architected Framework
Security,5.2 Ensure no security groups allow ingress from 0.0.0.0/0 to remote server administration ports, p1 ,AWS Well-Architected Framework
Security,ACM certificates should have transparency logging enabled, p1 ,AWS Well-Architected Framework
Security,ACM certificates should not expire within 30 days, p1 ,AWS Well-Architected Framework
Security,All S3 buckets should log S3 data events in CloudTrail, p1 ,AWS Well-Architected Framework
Security,API Gateway stage cache encryption at rest should be enabled, p1 ,AWS Well-Architected Framework
Security,API Gateway stage logging should be enabled, p1 ,AWS Well-Architected Framework
Security,API Gateway stage should be associated with waf, p1 ,AWS Well-Architected Framework
Security,API Gateway stage should uses SSL certificate, p1 ,AWS Well-Architected Framework
Security,API Gateway stages should have authorizers configured, p1 ,AWS Well-Architected Framework
Security,At least one multi-region AWS CloudTrail should be present in an account, p1 ,AWS Well-Architected Framework
Security,At least one trail should be enabled with security best practices, p1 ,AWS Well-Architected Framework
Security,Auto Scaling launch config public IP should be disabled, p1 ,AWS Well-Architected Framework
Security,AWS account should be part of AWS Organizations, p1 ,AWS Well-Architected Framework
Security,AWS Config should be enabled, p1 ,AWS Well-Architected Framework
Security,AWS Redshift audit logging should be enabled, p1 ,AWS Well-Architected Framework
Security,AWS Redshift clusters should be encrypted with KMS, p1 ,AWS Well-Architected Framework
Security,AWS Redshift enhanced VPC routing should be enabled, p1 ,AWS Well-Architected Framework
Security,AWS Redshift should have required maintenance settings, p1 ,AWS Well-Architected Framework
Security,Backup recovery points should be encrypted, p1 ,AWS Well-Architected Framework
Security,BP02 Enforce encryption at rest, p1 ,AWS Well-Architected Framework
Security,BP02 Secure account root user and properties, p1 ,AWS Well-Architected Framework
Security,BP03 Automate response to events, p1 ,AWS Well-Architected Framework
Security,CloudFront distributions access logs should be enabled, p1 ,AWS Well-Architected Framework
Security,CloudFront distributions should encrypt traffic to custom origins, p1 ,AWS Well-Architected Framework
Security,CloudFront distributions should have AWS WAF enabled, p1 ,AWS Well-Architected Framework
Security,CloudFront distributions should not use deprecated SSL protocols between edge locations and custom origins, p1 ,AWS Well-Architected Framework
Security,CloudTrail trail log file validation should be enabled, p1 ,AWS Well-Architected Framework
Security,CloudTrail trail logs should be encrypted with KMS CMK, p1 ,AWS Well-Architected Framework
Security,CloudTrail trails should be integrated with CloudWatch logs, p1 ,AWS Well-Architected Framework
Security,CloudWatch should not allow cross-account sharing, p1 ,AWS Well-Architected Framework
Security,CodeBuild project artifact encryption should be enabled, p1 ,AWS Well-Architected Framework
Security,CodeBuild project plaintext environment variables should not contain sensitive AWS values, p1 ,AWS Well-Architected Framework
Security,CodeBuild project S3 logs should be encrypted, p1 ,AWS Well-Architected Framework
Security,CodeBuild projects should not be unused for 90 days or greater, p1 ,AWS Well-Architected Framework
Security,CodeBuild projects should not use an user controlled buildspec, p1 ,AWS Well-Architected Framework
Security,Database logging should be enabled, p1 ,AWS Well-Architected Framework
Security,DMS replication instances should not be publicly accessible, p1 ,AWS Well-Architected Framework
Security,DynamoDB table should have encryption enabled, p1 ,AWS Well-Architected Framework
Security,EBS default encryption should be enabled, p1 ,AWS Well-Architected Framework
Security,EBS snapshots should not be publicly restorable, p1 ,AWS Well-Architected Framework
Security,EBS volumes should be attached to EC2 instances, p1 ,AWS Well-Architected Framework
Security,EC2 instances should be in a VPC, p1 ,AWS Well-Architected Framework
Security,EC2 instances should be managed by AWS Systems Manager, p1 ,AWS Well-Architected Framework
Security,EC2 instances should have IAM profile attached, p1 ,AWS Well-Architected Framework
Security,EC2 instances should not be attached to 'launch wizard' security groups, p1 ,AWS Well-Architected Framework
Security,EC2 instances should not have a public IP address, p1 ,AWS Well-Architected Framework
Security,EC2 instances should not use multiple ENIs, p1 ,AWS Well-Architected Framework
Security,EC2 instances should use IMDSv2, p1 ,AWS Well-Architected Framework
Security,EC2 stopped instances should be removed in 30 days, p1 ,AWS Well-Architected Framework
Security,ECR repositories should have image scan o, p1 ,AWS Well-Architected Framework
Security,ECR repositories should have image scan on push enabled, p1 ,AWS Well-Architected Framework
Security,ECR repositories should have lifecycle policies configured, p1 ,AWS Well-Architected Framework
Security,ECR repositories should prohibit public access, p1 ,AWS Well-Architected Framework
Security,ECS clusters should have container insights enabled, p1 ,AWS Well-Architected Framework
Security,ECS containers should be limited to read-only access to root filesystems, p1 ,AWS Well-Architected Framework
Security,ECS fargate services should run on the latest fargate platform version, p1 ,AWS Well-Architected Framework
Security,ECS task definition container definitions should be checked for host mode, p1 ,AWS Well-Architected Framework
Security,EFS file system encryption at rest should be enabled, p1 ,AWS Well-Architected Framework
Security,EKS clusters endpoint should restrict public access, p1 ,AWS Well-Architected Framework
Security,EKS clusters should be configured to have kubernetes secrets encrypted using KMS, p1 ,AWS Well-Architected Framework
Security,EKS clusters should have control plane audit logging enabled, p1 ,AWS Well-Architected Framework
Security,Elasticsearch domain node-to-node encryption should be enabled, p1 ,AWS Well-Architected Framework
Security,Elasticsearch domain should send logs to CloudWatch, p1 ,AWS Well-Architected Framework
Security,ELB application and classic load balancer logging should be enabled, p1 ,AWS Well-Architected Framework
Security,ELB application and network load balancers should only use SSL or HTTPS listeners, p1 ,AWS Well-Architected Framework
Security,ELB application load balancers should be drop HTTP headers, p1 ,AWS Well-Architected Framework
Security,ELB application load balancers should have Web Application Firewall (WAF) enabled, p1 ,AWS Well-Architected Framework
Security,ELB application load balancers should redirect HTTP requests to HTTPS, p1 ,AWS Well-Architected Framework
Security,ELB classic load balancers should only use SSL or HTTPS listeners, p1 ,AWS Well-Architected Framework
Security,ELB classic load balancers should use SSL certificates, p1 ,AWS Well-Architected Framework
Security,ELB listeners should use secure SSL cipher, p1 ,AWS Well-Architected Framework
Security,ELB load balancers should prohibit public access, p1 ,AWS Well-Architected Framework
Security,EMR cluster Kerberos should be enabled, p1 ,AWS Well-Architected Framework
Security,EMR cluster master nodes should not have public IP addresses, p1 ,AWS Well-Architected Framework
Security,EMR public access should be blocked at account level, p1 ,AWS Well-Architected Framework
Security,Ensure a support role has been created to manage incidents with AWS Support, p1 ,AWS Well-Architected Framework
Security,Ensure IAM password policy expires passwords within 90 days or less, p1 ,AWS Well-Architected Framework
Security,Ensure managed IAM policies should not allow blocked actions on KMS keys, p1 ,AWS Well-Architected Framework
Security,Ensure the S3 bucket CloudTrail logs to is not publicly accessible, p1 ,AWS Well-Architected Framework
Security,ES domain encryption at rest should be enabled, p1 ,AWS Well-Architected Framework
Security,ES domains should be in a VPC, p1 ,AWS Well-Architected Framework
Security,Glue dev endpoints CloudWatch logs encryption should be enabled, p1 ,AWS Well-Architected Framework
Security,Glue dev endpoints job bookmark encryption should be enabled, p1 ,AWS Well-Architected Framework
Security,Glue dev endpoints S3 encryption should be enabled, p1 ,AWS Well-Architected Framework
Security,Glue jobs bookmarks encryption should be enabled, p1 ,AWS Well-Architected Framework
Security,Glue jobs CloudWatch logs encryption should be enabled, p1 ,AWS Well-Architected Framework
Security,Glue jobs S3 encryption should be enabled, p1 ,AWS Well-Architected Framework
Security,GuardDuty should be enabled, p1 ,AWS Well-Architected Framework
Security,IAM groups should have at least one user, p1 ,AWS Well-Architected Framework
Security,IAM policy should not have statements with admin access, p1 ,AWS Well-Architected Framework
Security,IAM root user hardware MFA should be enabled, p1 ,AWS Well-Architected Framework
Security,IAM root user MFA should be enabled, p1 ,AWS Well-Architected Framework
Security,IAM root user should not have access keys, p1 ,AWS Well-Architected Framework
Security,IAM user credentials that have not been used in 90 days should be disabled, p1 ,AWS Well-Architected Framework
Security,KMS CMK policies should prohibit public access, p1 ,AWS Well-Architected Framework
Security,KMS keys should not be pending deletion, p1 ,AWS Well-Architected Framework
Security,Lambda functions CloudTrail logging should be enabled, p1 ,AWS Well-Architected Framework
Security,Lambda functions should be in a VPC, p1 ,AWS Well-Architected Framework
Security,Lambda functions should restrict public access, p1 ,AWS Well-Architected Framework
Security,Logging should be enabled on AWS WAFv2 regional and global web access control list (ACLs), p1 ,AWS Well-Architected Framework
Security,Log group retention period should be at least 365 days, p1 ,AWS Well-Architected Framework
Security,Network ACLs should not allow ingress from 0.0.0.0/0 to port 22 or port 3389, p1 ,AWS Well-Architected Framework
Security,OpenSearch domains node-to-node encryption should be enabled, p1 ,AWS Well-Architected Framework
Security,OpenSearch domains should be in a VPC, p1 ,AWS Well-Architected Framework
Security,OpenSearch domains should have audit logging enabled., p1 ,AWS Well-Architected Framework
Security,OpenSearch domains should have encryption at rest enabled, p1 ,AWS Well-Architected Framework
Security,OpenSearch domains should use HTTPS, p1 ,AWS Well-Architected Framework
Security,Public EC2 instances should have IAM profile attached, p1 ,AWS Well-Architected Framework
Security,RDS DB instance automatic minor version upgrade should be enabled, p1 ,AWS Well-Architected Framework
Security,RDS DB instance encryption at rest should be enabled, p1 ,AWS Well-Architected Framework
Security,RDS DB instances should be integrated with CloudWatch logs, p1 ,AWS Well-Architected Framework
Security,RDS DB instances should prohibit public access, p1 ,AWS Well-Architected Framework
Security,RDS DB snapshots should be encrypted at rest, p1 ,AWS Well-Architected Framework
Security,RDS snapshots should prohibit public access, p1 ,AWS Well-Architected Framework
Security,Redshift cluster encryption in transit should be enabled, p1 ,AWS Well-Architected Framework
Security,Redshift clusters should prohibit public access, p1 ,AWS Well-Architected Framework
Security,Route53 domains privacy protection should be enabled, p1 ,AWS Well-Architected Framework
Security,Route 53 domains should have transfer lock enabled, p1 ,AWS Well-Architected Framework
Security,Route 53 zones should have query logging enabled, p1 ,AWS Well-Architected Framework
Security,S3 bucket default encryption should be enabled, p1 ,AWS Well-Architected Framework
Security,S3 bucket policy should prohibit public access, p1 ,AWS Well-Architected Framework
Security,S3 buckets access control lists (ACLs) should not be used to manage user access to buckets, p1 ,AWS Well-Architected Framework
Security,S3 buckets object logging should be enabled, p1 ,AWS Well-Architected Framework
Security,S3 buckets should enforce SSL, p1 ,AWS Well-Architected Framework
Security,S3 buckets should prohibit public write access, p1 ,AWS Well-Architected Framework
Security,S3 bucket versioning should be enabled, p1 ,AWS Well-Architected Framework
Security,S3 public access should be blocked at account level, p1 ,AWS Well-Architected Framework
Security,SageMaker endpoint configuration encryption should be enabled, p1 ,AWS Well-Architected Framework
Security,SageMaker models should be in a VPC, p1 ,AWS Well-Architected Framework
Security,SageMaker models should have network isolation enabled, p1 ,AWS Well-Architected Framework
Security,SageMaker notebook instance encryption should be enabled, p1 ,AWS Well-Architected Framework
Security,SageMaker notebook instances should be encrypted using CMK, p1 ,AWS Well-Architected Framework
Security,SageMaker notebook instances should be in a VPC, p1 ,AWS Well-Architected Framework
Security,SageMaker notebook instances should not have direct internet access, p1 ,AWS Well-Architected Framework
Security,SageMaker training jobs should be enabled with inter-container traffic encryption, p1 ,AWS Well-Architected Framework
Security,SageMaker training jobs should be in VPC, p1 ,AWS Well-Architected Framework
Security,SageMaker training jobs should have network isolation enabled, p1 ,AWS Well-Architected Framework
Security,SageMaker training jobs volumes and outputs should have KMS encryption enabled, p1 ,AWS Well-Architected Framework
Security,Secrets Manager secrets that have not been used in 90 days should be removed, p1 ,AWS Well-Architected Framework
Security,Security groups should not allow unrestricted access to ports with high risk, p1 ,AWS Well-Architected Framework
Security,SNS topic policies should prohibit public access, p1 ,AWS Well-Architected Framework
Security,SNS topics should be encrypted at rest, p1 ,AWS Well-Architected Framework
Security,SQS queue policies should prohibit public access, p1 ,AWS Well-Architected Framework
Security,SSM documents should not be public, p1 ,AWS Well-Architected Framework
Security,SSM managed instance associations should be compliant, p1 ,AWS Well-Architected Framework
Security,SSM managed instance patching should be compliant, p1 ,AWS Well-Architected Framework
Security,VPC default security group should not allow inbound and outbound traffic, p1 ,AWS Well-Architected Framework
Security,VPC EIPs should be associated with an EC2 instance or ENI, p1 ,AWS Well-Architected Framework
Security,VPC flow logs should be enabled, p1 ,AWS Well-Architected Framework
Security,VPC network access control lists (network ACLs) should be associated with a subnet., p1 ,AWS Well-Architected Framework
Security,VPC Security groups should only allow unrestricted incoming traffic for authorized ports, p1 ,AWS Well-Architected Framework
Security,VPC security groups should restrict ingress Kafka port access from 0.0.0.0/0, p1 ,AWS Well-Architected Framework
Security,VPC security groups should restrict ingress redis access from 0.0.0.0/0, p1 ,AWS Well-Architected Framework
Security,VPC security groups should restrict ingress TCP and UDP access from 0.0.0.0/0, p1 ,AWS Well-Architected Framework
Security,VPC subnet auto assign public IP should be disabled, p1 ,AWS Well-Architected Framework
Security,WAF global rule group should have at least one rule, p1 ,AWS Well-Architected Framework
Security,WAF global web ACL should have at least one rule or rule group, p1 ,AWS Well-Architected Framework
Security Hub,AWS Security Hub should be enabled for an AWS Account, p1 ,Compliance
SNS,Logging of delivery status should be enabled for notification messages sent to a topic, p3 ,Compliance
SNS,SNS topic policies should prohibit cross account access, p1 ,Compliance
SNS,SNS topic policies should prohibit public access, p1 ,Compliance
SNS,SNS topic policies should prohibit publishing access, p3 ,Compliance
SNS,SNS topic policies should prohibit subscription public access, p1 ,Compliance
SNS,SNS topics should be encrypted at rest, p1 ,Compliance
SQS,AWS SQS queues should be encrypted at rest, p3 ,Compliance
SQS,SQS queue policies should prohibit public access, p3 ,Compliance
SQS,SQS queues should be configured with a dead-letter queue., p3 ,Compliance
SQS,SQS queues should be encrypted with KMS CMK, p3 ,Compliance
SSM,EC2 instances should be managed by AWS Systems Manager, p1 ,Compliance
SSM,SSM documents should not be public, p1 ,Compliance
SSM,SSM managed instance associations should be compliant, p3 ,Compliance
SSM,SSM managed instance patching should be compliant, p1 ,Compliance
SSM,SSM parameters encryption should be enabled, p2 ,Compliance
Step Functions,Step Functions state machines should have logging turned on, p1 ,Compliance
VPC,Both VPN tunnels provided by AWS Site-to-Site, p3 ,Compliance
VPC,Ensure no security groups allow ingress from 0.0.0.0/0 to port 3389, p1 ,Compliance
VPC,Ensure no security groups allow ingress from 0.0.0.0/0 to remote server administration ports, p1 ,Compliance
VPC,Ensure no security groups allow ingress from ::/0 to remote server administration ports, p1 ,Compliance
VPC,Network ACLs should not allow ingress from 0.0.0.0/0 to port 22 or port 3389, p1 ,Compliance
VPC,Security groups should not allow unrestricted access to ports with high risk, p1 ,Compliance
VPC,Unused EC2 security groups should be removed, p2 ,Compliance
VPC,VPC default security group should not allow inbound and outbound traffic, p1 ,Compliance
VPC,VPC EIPs should be associated with an EC2 instance or ENI, p3 ,Compliance
VPC,VPC endpoint services should have acceptance required enabled, p2 ,Compliance
VPC,VPC flow logs should be enabled, p2 ,Compliance
VPC,VPC gateway endpoints should restrict public access, p3 ,Compliance
VPC,VPC internet gateways should be attached to authorized vpc, p3 ,Compliance
VPC,VPC network access control lists (network ACLs) should be associated with a subnet., p3 ,Compliance
VPC,VPC route table should restrict public access to IGW, p3 ,Compliance
VPC,VPC security groups should be associated with at least one ENI, p2 ,Compliance
VPC,VPC Security groups should only allow unrestricted incoming traffic for authorized ports, p2 ,Compliance
VPC,VPC security groups should restrict ingress from 0.0.0.0/0 or ::/0 to cassandra ports 7199 or 9160 or 8888, p1 ,Compliance
VPC,VPC security groups should restrict ingress from 0.0.0.0/0 or ::/0 to memcached port 11211, p1 ,Compliance
VPC,VPC security groups should restrict ingress from 0.0.0.0/0 or ::/0 to mongoDB ports 27017 and 27018, p1 ,Compliance
VPC,VPC security groups should restrict ingress from 0.0.0.0/0 or ::/0 to oracle ports 1521 or 2483, p1 ,Compliance
VPC,VPC security groups should restrict ingress Kafka port access from 0.0.0.0/0, p1 ,Compliance
VPC,VPC security groups should restrict ingress kibana port access from 0.0.0.0/0, p1 ,Compliance
VPC,VPC security groups should restrict ingress redis access from 0.0.0.0/0, p1 ,Compliance
VPC,VPC security groups should restrict ingress SSH access from 0.0.0.0/0, p1 ,Compliance
VPC,VPC security groups should restrict ingress TCP and UDP access from 0.0.0.0/0, p1 ,Compliance
VPC,VPC security groups should restrict uses of 'launch-wizard' security groups., p2 ,Compliance
VPC,VPC should be configured to use VPC endpoints, p3 ,Compliance
VPC,VPCs peering connection route tables should have least privilege, p3 ,Compliance
VPC,VPCs peering connection should not be allowed in cross account, p3 ,Compliance
VPC,VPCs should be in use, p3 ,Compliance
VPC,VPCs should exist in multiple regions, p3 ,Compliance
VPC,VPCs should have both public and private subnets configured, p1 ,Compliance
VPC,VPCs subnets should exist in multiple availability zones, p3 ,Compliance
VPC,VPC subnet auto assign public IP should be disabled, p1 ,Compliance
WAF,WAF global rule group should have at least one rule, p3 ,Compliance
WAF,WAF global rule should have at least one condition, p3 ,Compliance
WAF,WAF global web ACL should have at least one rule or rule group, p1 ,Compliance
WAF,WAF regional rule group should have at least one rule attached, p3 ,Compliance
WAF,WAF regional rule should have at least one condition, p3 ,Compliance
WAF,WAF regional web ACL should have at least one rule or rule group attached, p3 ,Compliance
WAF,WAF web ACL logging should be enabled, p1 ,Compliance
WAFv2,A WAFV2 web ACL should have at least one rule or rule group, p3 ,Compliance
WAFv2,AWS WAF rules should have CloudWatch metrics enabled, p2 ,Compliance
WAFv2,Logging should be enabled on AWS WAFv2 regional and global web access control list (ACLs), p1 ,Compliance
WorkSpaces,WorkSpaces root and user volume encryption should be enabled, p2 ,Compliance
""
